"","pool","veg","meanpv","n","var","se"
"1","AGBC_g_m2","cheatgrass",39.8368446130177,338,4893.41468383406,3.80493866392028
"2","AGBC_g_m2","sagebrush",89.3586884635417,96,72520.7093295687,27.484978725048
"3","AGBC_g_m2","sagecheat",138.118748005323,110,166919.672954168,38.954480773213
"4","BGBC_g_m2","cheatgrass",90.4229,20,6124.90732725263,17.4998676098601
"5","BGBC_g_m2","sagebrush",238.444944444444,18,65105.3694645262,60.1412085865545
"6","BGBC_g_m2","sagecheat",145.986172413793,29,19250.9611874335,25.7648257871567
"7","litterC_g_m2","cheatgrass",154.004635092308,65,9071.56487628153,11.813658897995
"8","litterC_g_m2","sagebrush",32.21,10,1545.79957777778,12.4330188521444
