"","pool","veg","meanpv","n","var","se"
"1","AGBC_g_m2","cheatgrass",39.0567245558209,335,4774.61272549848,3.77525830904264
"2","AGBC_g_m2","sagebrush",84.485914048913,92,74650.2941439468,28.4853688881691
"3","AGBC_g_m2","sagecheat",140.145046332524,103,178240.474044121,41.5991591172623
"4","BGBC_g_m2","cheatgrass",87.5487222222222,18,5933.6304009183,18.1561596540775
"5","BGBC_g_m2","sagebrush",177.357222222222,9,124307.582170944,117.524268023883
"6","BGBC_g_m2","sagecheat",149.68925,28,19551.5604798981,26.4247992828559
"7","litterC_g_m2","cheatgrass",155.004707515625,64,9149.51665870156,11.9566382312175
"8","litterC_g_m2","sagebrush",18.2875,8,657.419421428571,9.06517664905497
