"","Study_ID","pool","meancheat","meansage","meansagecheat","meansalt","ncheat","nsage","nsagecheat","nsalt","varcheat","varsage","varsagecheat","varsalt","veg","yrssinceb","geometry"
"138",1277,"BGBC_g_m2",NA,NA,132.332,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1774042.01463117, 1252496.12617369)
"139",1279,"orgsoilC_g_m2",NA,NA,2006.715,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1774042.01463117, 1252496.12617369)
"140",1282,"BGBC_g_m2",NA,NA,396.111,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773925.07741113, 1351339.13584756)
"141",1284,"orgsoilC_g_m2",NA,NA,3154.915,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773925.07741113, 1351339.13584756)
"142",1287,"BGBC_g_m2",NA,NA,331.192,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773722.54937185, 1352014.60148176)
"143",1289,"orgsoilC_g_m2",NA,NA,2221.049,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773722.54937185, 1352014.60148176)
"144",1359,"orgsoilC_g_m2",1672.12,NA,NA,NA,4,NA,NA,NA,232598.914133333,NA,NA,NA,"cheatgrass",NA,c(-1047824.97149117, 337822.132080472)
"145",1364,"orgsoilC_g_m2",1340.55,NA,NA,NA,4,NA,NA,NA,95336.19,NA,NA,NA,"cheatgrass",NA,c(-1047824.97149117, 337822.132080472)
"146",1369,"orgsoilC_g_m2",2190.5025,NA,NA,NA,4,NA,NA,NA,70428.482025,NA,NA,NA,"cheatgrass",NA,c(-1047824.97149117, 337822.132080472)
"147",1374,"orgsoilC_g_m2",1876.935,NA,NA,NA,4,NA,NA,NA,111922.071033333,NA,NA,NA,"cheatgrass",NA,c(-1047824.97149117, 337822.132080472)
"148",1379,"orgsoilC_g_m2",NA,1389.24,NA,NA,NA,4,NA,NA,NA,61128.6634666667,NA,NA,"sagebrush",NA,c(-1047824.97149117, 337822.132080472)
"149",1384,"orgsoilC_g_m2",NA,1130.2875,NA,NA,NA,4,NA,NA,NA,98443.400625,NA,NA,"sagebrush",NA,c(-1047824.97149117, 337822.132080472)
"150",1389,"orgsoilC_g_m2",NA,1859.49,NA,NA,NA,4,NA,NA,NA,55895.1054,NA,NA,"sagebrush",NA,c(-1047824.97149117, 337822.132080472)
"151",1394,"orgsoilC_g_m2",NA,1712.87,NA,NA,NA,4,NA,NA,NA,136709.927066667,NA,NA,"sagebrush",NA,c(-1047824.97149117, 337822.132080472)
"152",1399,"orgsoilC_g_m2",NA,NA,1740.46,NA,NA,NA,4,NA,NA,NA,111849.4736,NA,"sagecheat",NA,c(-1047824.97149117, 337822.132080472)
"153",1404,"orgsoilC_g_m2",NA,NA,1415.475,NA,NA,NA,4,NA,NA,NA,93289.5225,NA,"sagecheat",NA,c(-1047824.97149117, 337822.132080472)
"154",1409,"orgsoilC_g_m2",NA,NA,2418.9375,NA,NA,NA,4,NA,NA,NA,427787.947425,NA,"sagecheat",NA,c(-1047824.97149117, 337822.132080472)
"155",1414,"orgsoilC_g_m2",NA,NA,1883.215,NA,NA,NA,4,NA,NA,NA,216657.3153,NA,"sagecheat",NA,c(-1047824.97149117, 337822.132080472)
"156",1509,"orgsoilC_g_m2",1104.42,NA,NA,NA,6,NA,NA,NA,70470.975456,NA,NA,NA,"cheatgrass",NA,c(-1326263.96847656, 714229.274053527)
"157",1514,"orgsoilC_g_m2",547.944,NA,NA,NA,6,NA,NA,NA,2040.4175616,NA,NA,NA,"cheatgrass",NA,c(-1326263.96847656, 714229.274053527)
"158",1519,"orgsoilC_g_m2",NA,1731.996,NA,NA,NA,6,NA,NA,NA,154477.5115968,NA,NA,"sagebrush",NA,c(-1326263.96847656, 714229.274053527)
"159",1524,"orgsoilC_g_m2",NA,862.68,NA,NA,NA,6,NA,NA,NA,19446.5166336,NA,NA,"sagebrush",NA,c(-1326263.96847656, 714229.274053527)
