"","pool","veg","meanpv","n","var","se"
"1","orgsoilC_g_m2","cheatgrass",1803.10491785898,189,271835.97548275,37.9247357876731
"2","orgsoilC_g_m2","sagebrush",1524.57079258292,201,288380.553387126,37.8778183285282
"3","orgsoilC_g_m2","sagecheat",1605.18381906055,73,596428.460792741,90.3894511963194
"4","totsoilC_g_m2","cheatgrass",1345.96563147153,98,644858.219024556,81.1183450793582
"5","totsoilC_g_m2","sagecheat",1446.66834022232,69,823564.129209251,109.250684288591
