"","site","yr_samp","BD_g_cm3","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID"
"43","E","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",61.14,597
"44","E","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",25.88,597
"45","O","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",65.83,632
"46","O","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",65.14,632
"47","O","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",48.21,632
"48","O","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",107.07,632
"49","E","2012",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",13.06,577
"50","E","2012",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",11.48,577
"51","E","2012",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",20.91,577
"52","E","2012",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",12.12,577
"53","O","2012",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",10.49,612
"54","O","2012",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",13.53,612
"55","O","2012",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",17.72,612
"56","O","2012",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",16.47,612
"57",NA,"2011",1.422,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2108
"58",NA,"2011",1.422,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2108
"59",NA,"2011",1.422,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2108
"60",NA,"2011",1.422,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2108
