"site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1","MTBS_ID","MTBS_DISCOVERY_YEAR","lat","long","baecv_lyb","maxsat","last_year_burned","masterlyb","timesincefire"
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",95.06,566,2010,"33","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,7
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",69.24,566,2010,"34","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,7
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",77.36,566,2010,"35","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,7
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",70.98,566,2010,"36","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,7
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",92.05,591,2010,"37",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,60
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",83.88,591,2010,"38",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,60
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",71.89,591,2010,"39",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,60
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",110.46,591,2010,"40",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,60
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",46.26,567,2011,"41","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,8
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",29.79,567,2011,"42","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,8
