"","site","yr_samp","AGBC_g_m2","BGBC_g_m2","litterC_g_m2","orgsoilperC","totsoilperC","BD_g_cm3","orgsoilC_g_m2","totsoilC_g_m2","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","study_year"
"38","O","2010",83.88,NA,112.4746975,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"2015"
"39","O","2010",71.89,NA,122.8442525,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"2015"
"40","O","2010",110.46,NA,127.933155,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"2015"
"41","E","2011",46.26,NA,175.511726,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"2015"
"42","E","2011",29.79,NA,71.9743605,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"2015"
"43","E","2011",61.14,NA,273.44391,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"2015"
"44","E","2011",25.88,NA,38.568528,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"2015"
"45","O","2011",65.83,NA,24.575974,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"2015"
"46","O","2011",65.14,NA,44.6351,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"2015"
"47","O","2011",48.21,NA,103.462912,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"2015"
"48","O","2011",107.07,NA,111.2311865,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"2015"
"49","E","2012",13.06,NA,83.3733,NA,1.99,1.11,NA,1104.45,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"50","E","2012",11.48,NA,106.9205,NA,3.41,1.11,NA,1892.55,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"51","E","2012",20.91,NA,135.9358875,NA,2.85,1.11,NA,1581.75,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"52","E","2012",12.12,NA,77.814,NA,2.45,1.11,NA,1359.75,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"53","O","2012",10.49,NA,48.4214305,NA,1.46,1.94,NA,1416.2,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"54","O","2012",13.53,NA,49.226568,NA,1.94,1.94,NA,1881.8,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"55","O","2012",17.72,NA,47.24369,NA,1.4485,1.94,NA,1405.045,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"56","O","2012",16.47,NA,55.674065,NA,1.775,1.94,NA,1721.75,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"57",NA,"2011",NA,NA,NA,2.48,NA,1.422,1410.624,NA,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"58",NA,"2011",NA,NA,NA,1.31,NA,1.422,745.128,NA,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"59",NA,"2011",NA,NA,NA,2.12,NA,1.422,1205.856,NA,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"60",NA,"2011",NA,NA,NA,1.46,NA,1.422,830.448,NA,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"61",NA,"2011",NA,NA,NA,1.97,NA,1.422,1120.536,NA,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"62",NA,"2011",NA,NA,NA,2.31,NA,1.422,1313.928,NA,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"63",NA,"2011",NA,NA,NA,1.06,NA,1.422,602.928,NA,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"64",NA,"2011",NA,NA,NA,0.98,NA,1.422,557.424,NA,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"65",NA,"2011",NA,NA,NA,1,NA,1.422,568.8,NA,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"66",NA,"2011",NA,NA,NA,0.82,NA,1.422,466.416,NA,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"67",NA,"2011",NA,NA,NA,0.96,NA,1.422,546.048,NA,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"68",NA,"2011",NA,NA,NA,0.96,NA,1.422,546.048,NA,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"2015"
"69",NA,"2011",NA,NA,NA,2,NA,1.422,1137.6,NA,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
